State,Place,High °C,Low °C
Uttar Pradesh,Agra,33,19
Uttar Pradesh,Allahabad,32,19
Punjab,Amritsar,30,15
Madhya Pradesh,Bhopal,32,19
Chandigarh,Chandigarh,30,17
Uttarakhand,Dehradun,28,15
Madhya Pradesh,Indore,32,18
Uttar Pradesh,Lucknow,32,18
Punjab,Ludhiana,30,17
Uttarakhand,Mukteswar,19,8
Delhi,New Delhi,31,19
Bihar,Patna,31,20
Himachal Pradesh,Shimla,17,10
Jammu and Kashmir,Srinagar,20,7
Uttar Pradesh,Varanasi,32,19
Tripura,Agartala,31,20
Orissa (Odisha),Balasore,32,22
Orissa (Odisha),Bhuba­neshwar,33,22
Meghalaya,Cherrapunji,21,14
Assam,Dibrugarh,28,18
West Bengal,Gopalpur,30,23
Assam,Guwahati,29,19
Nagaland,Kohima,22,15
West Bengal,Kolkata (Calcutta),32,22
Chhattisgarh,Raipur,33,21
Jharkhand,Ranchi,29,18
Meghalaya,Shillong,21,12
Karnataka,Bangalore,29,19
Tamil Nadu,Chennai,33,24
Tamil Nadu,Coimbatore,32,21
Andhra Pradesh,Hyderabad,32,21
Lakshadweep,Minicoy,31,25
Karnataka,Mysore,30,19
Tamil Nadu,Pamban Island,32,26
Andaman & Nicobar,Port Blair,30,22
Pondicherry,Puducherry,33,24
Kerala,Thiruvanan­thapuram,31,23
Andhra Pradesh,Vijayawada,23,23
Andhra Pradesh,Vishak­hapatnam,33,24
Karnataka,Bangalore,29,19
Tamil Nadu,Chennai,33,24
Tamil Nadu,Coimbatore,32,21
Andhra Pradesh,Hyderabad,32,21
Tamil Nadu,Madurai,34,24
Lakshadweep,Minicoy,31,25
Karnataka,Mysore,30,19
Tamil Nadu,Pamban Island,32,26
Andaman & Nicobar,Port Blair,30,22
Pondicherry,Puducherry,33,24
Kerala,Thiruvanan­thapuram,31,23
Andhra Pradesh,Vijayawada,23,23
Andhra Pradesh,Vishak­hapatnam,33,24
