State ,Preference ,Bread Type
Uttar Pradesh,Yes,Simple bread
Maharashtra,Yes,Bun bread
Bihar,Yes,Simple bread
West Bengal,Yes,Simple bread
Madhya Pradesh,Yes,Simple bread
Rajasthan,Yes,Simple bread
Tamil Nadu,Yes,Simple bread
Karnataka,Yes,Simple bread
Gujarat,Yes,Simple bread
Andhra Pradesh,Yes,Simple bread
Odisha,Yes,Simple bread
Telangana,Yes,Simple bread
Jharkhand,Yes,Simple bread
Kerala,Yes,Simple bread
Assam,Yes,Simple bread
Punjab,Yes,Simple bread
Chhattisgarh,Yes,Simple bread
Haryana,Yes,Simple bread
Delhi,Yes,Cake Desert
Jammu & Kashmir,Yes,Simple bread
Uttarakhand,Yes,Simple bread
Himachal Pradesh,Yes,Simple bread
Tripura,Yes,Simple bread
Meghalaya,Yes,Simple bread
Manipur,Yes,Simple bread
Nagaland,Yes,Simple bread
Goa,Yes,Cake Desert
Arunachal Pradesh,Yes,Simple bread
Puducherry,Yes,Simple bread
Mizoram,Yes,Simple bread
Chandigarh,Yes,Simple bread
Sikkim,Yes,Simple bread
A.& N.Islands,Yes,Simple bread
D.& N.Haveli,Yes,Simple bread
Daman & Diu,Yes,Simple bread
Lakshadweep,Yes,Simple bread
